volume,eye,seed_rank,radius_hops,method,scored_lenses,median_lens_mae_um,p90_lens_mae_um,median_normalized_mae
20231107,0,4,1,six_neighbor_surface,7,0.9721420364163601,1.243491615865647,0.04131467491772762
20231107,0,4,2,axisymmetric_ellipsoid,19,23.77479553472774,28.28171499804232,0.9829022493555654
20231107,0,4,2,graph_harmonic_depth_shared_shape,19,2.307988565202671,3.1193901375991513,0.08127856842991803
20231107,0,4,2,nearest_visible_surface,19,1.6356033762452078,3.7090326868562475,0.06353064428792828
20231107,0,4,2,same_eye_outer_ridge,19,4.041149653339011,6.136756322435958,0.1264467830431601
20231107,0,4,2,same_eye_template,19,3.056907588998081,6.042617489678021,0.09883054795699318
20231107,0,4,2,six_neighbor_depth_shared_shape,19,1.9502294540342664,2.7119635607211268,0.06848225752372557
20231107,0,4,2,six_neighbor_surface,19,1.9377607847976042,2.6951055627283664,0.06734771275493674
20231107,0,4,3,axisymmetric_ellipsoid,37,24.406681825707455,27.845547677287556,0.9829022493555654
20231107,0,4,3,graph_harmonic_depth_shared_shape,37,2.105431160496236,3.746566528297544,0.07595484935382309
20231107,0,4,3,nearest_visible_surface,37,1.3473938149927187,4.183023634206952,0.0463844348310882
20231107,0,4,3,same_eye_outer_ridge,37,3.2945014267474217,5.3491775384427145,0.11553601196257936
20231107,0,4,3,same_eye_template,37,3.1651517745477236,5.478620761466745,0.12327004053919999
20231107,0,4,3,six_neighbor_depth_shared_shape,37,1.7781420855065495,3.5108445723192516,0.07085725935471367
20231107,0,4,3,six_neighbor_surface,37,1.7758694327057554,3.527487377055794,0.07231611730272887
20231107,0,5,1,axisymmetric_ellipsoid,7,26.271438627917167,27.4588286793215,0.9440260438151289
20231107,0,5,1,graph_harmonic_depth_shared_shape,7,0.9539761947338575,3.032442296212361,0.03443148397169327
20231107,0,5,1,nearest_visible_surface,7,2.1266926799126384,4.238824366347391,0.07911538551805297
20231107,0,5,1,same_eye_outer_ridge,7,1.6281252861551392,4.391963442871186,0.060968292788727035
20231107,0,5,1,same_eye_template,7,1.2373180302181621,3.5282266644525015,0.04160483322254535
20231107,0,5,1,six_neighbor_depth_shared_shape,7,1.2915272120215744,3.3583558143945966,0.045290008974052505
20231107,0,5,1,six_neighbor_surface,7,1.2405430520640552,3.238156122457588,0.04350214648031823
20231107,0,5,2,axisymmetric_ellipsoid,19,26.579879862325498,28.523342759026608,0.9842871947003082
20231107,0,5,2,graph_harmonic_depth_shared_shape,19,1.3240729962165392,4.114645517398085,0.04216379563066612
20231107,0,5,2,nearest_visible_surface,19,2.046921061174508,4.415041677544512,0.06961664377956664
20231107,0,5,2,same_eye_outer_ridge,19,1.6401111096617076,3.884873858135048,0.06141813747347518
20231107,0,5,2,same_eye_template,19,1.6425769254162255,3.371456980109536,0.05893839195784456
20231107,0,5,2,six_neighbor_depth_shared_shape,19,1.6318620630013059,4.244479820982383,0.053372061631546494
20231107,0,5,2,six_neighbor_surface,19,1.6194078995287229,4.205166658411121,0.052964732853276145
20231107,0,5,3,axisymmetric_ellipsoid,37,26.874813432379955,29.722461848774156,0.9825484970913871
20231107,0,5,3,graph_harmonic_depth_shared_shape,37,1.4030901638544322,4.596066875471576,0.049573507768188876
20231107,0,5,3,nearest_visible_surface,37,1.6754676574431662,5.13728648306373,0.05773345501857845
20231107,0,5,3,same_eye_outer_ridge,37,1.5321900807377509,3.8811131574836017,0.05737675969627225
20231107,0,5,3,same_eye_template,37,1.844760608295921,3.986686584438137,0.06316433351997927
20231107,0,5,3,six_neighbor_depth_shared_shape,37,1.3355800239346687,5.289548181264542,0.046834809755875256
20231107,0,5,3,six_neighbor_surface,37,1.3178751216025741,5.3303962434181,0.046213951613637456
20231107,0,6,1,axisymmetric_ellipsoid,7,30.375390325900185,32.05371210361976,0.9942104639626796
20231107,0,6,1,graph_harmonic_depth_shared_shape,7,0.9254483940070501,1.5262377167017434,0.028835376927024793
20231107,0,6,1,nearest_visible_surface,7,1.1749932291058671,1.9795804362965064,0.0363672907426578
20231107,0,6,1,same_eye_outer_ridge,7,4.082622142927223,4.902456243363064,0.1272074694864372
20231107,0,6,1,same_eye_template,7,3.512864984033828,4.2798503239764605,0.10945481840405105
20231107,0,6,1,six_neighbor_depth_shared_shape,7,0.8529320573391157,1.396913967921963,0.027017814469388494
20231107,0,6,1,six_neighbor_surface,7,0.8628899768492626,1.3469291707483229,0.028567603101073254
